scenario,eps_2027_est,bps_2027_est,per_2027_est,price_2027_est,pbr_2027_est
보수(Bear),21590.1,76140.0,8.5,183516.0,2.41
기준(Base),23029.44,77620.5,9.8,225689.0,2.91
낙관(Bull),24674.4,78960.0,11.5,283756.0,3.59
