Date,FADU (440110.KQ),SK hynix (000660.KS),Samsung Elec (005930.KS)
2024-02-20,100.0,100.0,100.0
2024-02-21,99.26108374384236,99.59893048128342,99.59072305593452
2024-02-22,99.50738916256158,104.61229946524064,99.72714870395635
2024-02-23,104.43349753694582,107.88770053475936,99.45429740791269
2024-02-26,106.40394088669952,108.15508021390374,99.31787175989086
2024-02-27,103.20197044334975,102.80748663101605,99.45429740791269
2024-02-28,105.91133004926108,105.61497326203208,99.86357435197817
2024-02-29,102.46305418719213,104.41176470588236,100.13642564802183
2024-03-04,103.94088669950739,111.29679144385027,102.18281036834924
2024-03-05,100.0,110.82887700534761,100.54570259208731
2024-03-06,102.21674876847291,108.8903743315508,99.45429740791269
2024-03-07,99.26108374384236,110.22727272727273,98.4993178717599
2024-03-08,99.26108374384236,114.90641711229948,100.0
2024-03-11,95.4679802955665,111.36363636363636,98.77216916780355
2024-03-12,95.1231527093596,110.7620320855615,100.0
2024-03-13,97.38916256157636,109.35828877005346,101.09140518417463
2024-03-14,96.45320197044335,108.22192513368985,101.36425648021827
2024-03-15,95.51724137931035,107.75401069518718,98.63574351978171
2024-03-18,96.10837438423646,109.82620320855614,99.31787175989086
2024-03-19,94.23645320197043,107.0855614973262,99.31787175989086
2024-03-20,92.85714285714286,104.61229946524064,104.91132332878581
2024-03-21,83.34975369458128,113.63636363636364,108.18553888130968
2024-03-22,79.45812807881774,113.50267379679144,107.63983628922237
2024-03-25,75.02463054187191,113.23529411764706,106.68485675306958
2024-03-26,82.66009852216749,118.04812834224599,109.00409276944065
2024-03-27,84.33497536945814,121.12299465240642,108.86766712141882
2024-03-28,82.16748768472907,119.11764705882352,110.23192360163712
2024-03-29,78.32512315270937,122.32620320855614,112.41473396998636
2024-04-01,79.70443349753694,123.99732620320856,111.86903137789905
2024-04-02,88.76847290640394,124.53208556149733,115.9618008185539
2024-04-03,93.64532019704434,119.78609625668449,114.73396998635744
2024-04-04,91.13300492610837,125.66844919786095,116.37107776261936
2024-04-05,99.01477832512316,122.19251336898395,115.27967257844476
2024-04-08,93.00492610837439,121.12299465240642,115.27967257844476
2024-04-09,83.30049261083744,122.25935828877006,114.0518417462483
2024-04-11,83.2512315270936,125.93582887700533,114.73396998635744
2024-04-12,86.35467980295567,125.26737967914438,114.18826739427013
2024-04-15,97.68472906403942,125.80213903743316,112.14188267394269
2024-04-16,89.95073891625616,119.7192513368984,109.14051841746249
2024-04-17,102.21674876847291,119.45187165775401,107.63983628922237
2024-04-18,99.50738916256158,121.85828877005346,108.59481582537518
2024-04-19,96.00985221674877,115.84224598930481,105.8663028649386
2024-04-22,96.30541871921181,114.70588235294117,103.81991814461118
2024-04-23,93.69458128078819,114.3048128342246,103.00136425648022
2024-04-24,95.56650246305419,120.18716577540107,107.23055934515688
2024-04-25,93.30049261083744,114.03743315508021,104.09276944065485
2024-04-26,99.26108374384236,118.85026737967914,104.63847203274214
2024-04-29,99.01477832512316,117.58021390374331,104.63847203274214
2024-04-30,94.23645320197043,116.44385026737969,105.72987721691678
2024-05-02,92.95566502463053,116.0427807486631,106.41200545702591
2024-05-03,89.16256157635468,115.77540106951871,105.8663028649386
2024-05-07,88.76847290640394,120.05347593582887,110.91405184174626
2024-05-08,86.55172413793103,118.98395721925135,110.91405184174626
2024-05-09,88.62068965517241,117.24598930481282,108.73124147339699
2024-05-10,86.25615763546797,120.25401069518718,108.04911323328785
2024-05-13,84.5320197044335,122.8609625668449,106.95770804911324
2024-05-14,84.63054187192118,123.86363636363636,106.82128240109141
2024-05-16,86.69950738916256,129.01069518716577,106.68485675306958
2024-05-17,84.67980295566502,126.93850267379678,105.59345156889495
2024-05-20,83.2512315270936,127.07219251336899,107.63983628922237
2024-05-21,82.3152709359606,128.3422459893048,106.95770804911324
2024-05-22,83.74384236453201,132.1524064171123,106.00272851296045
2024-05-23,85.71428571428571,133.6898395721925,106.82128240109141
2024-05-24,88.52216748768473,132.75401069518716,103.54706684856754
2024-05-27,88.52216748768473,134.69251336898395,105.32060027285131
2024-05-28,88.81773399014779,135.3609625668449,105.8663028649386
2024-05-29,86.69950738916256,135.3609625668449,102.59208731241473
2024-05-30,87.73399014778325,130.81550802139037,100.27285129604367
2024-05-31,86.99507389162562,126.47058823529412,100.27285129604367
2024-06-03,87.0935960591133,129.81283422459893,103.27421555252387
2024-06-04,90.39408866995073,129.21122994652404,102.72851296043657
2024-06-05,95.07389162561576,129.47860962566844,105.59345156889495
2024-06-07,101.47783251231527,138.70320855614972,105.45702592087312
2024-06-10,104.43349753694582,139.0374331550802,103.27421555252387
2024-06-11,104.43349753694582,142.04545454545453,102.59208731241473
2024-06-12,105.91133004926108,143.71657754010695,104.3656207366985
2024-06-13,106.89655172413792,148.39572192513367,107.23055934515688
2024-06-14,113.30049261083744,147.72727272727272,108.59481582537518
2024-06-17,116.25615763546797,149.06417112299465,106.54843110504774
2024-06-18,116.00985221674878,156.75133689839572,108.86766712141882
2024-06-19,115.51724137931035,156.08288770053477,110.77762619372442
2024-06-20,113.05418719211822,158.7566844919786,111.32332878581173
2024-06-21,109.35960591133005,156.41711229946523,109.14051841746249
2024-06-24,107.38916256157636,149.06417112299465,109.95907230559345
2024-06-25,104.43349753694582,150.40106951871655,110.23192360163712
2024-06-26,107.38916256157636,158.42245989304814,110.91405184174626
2024-06-27,103.69458128078817,158.08823529411765,111.32332878581173
2024-06-28,102.46305418719213,158.08823529411765,111.1869031377899
2024-07-01,100.24630541871922,157.4197860962567,111.5961800818554
