Date,Close
2007-12-31,126.02074432373047
2008-01-02,128.93115234375
2008-01-03,128.0580291748047
2008-01-04,130.38636779785156
2008-01-07,128.0580291748047
2008-01-08,129.51324462890625
2008-01-09,130.96844482421875
2008-01-10,131.84156799316406
2008-01-11,133.8788604736328
2008-01-14,135.9161376953125
2008-01-15,139.69967651367188
2008-01-16,135.3340606689453
2008-01-17,135.3340606689453
2008-01-18,132.42364501953125
2008-01-21,134.4609375
2008-01-22,132.42364501953125
2008-01-23,130.96844482421875
2008-01-24,130.67739868164062
2008-01-25,133.8788604736328
2008-01-28,127.7669906616211
2008-01-29,128.93115234375
2008-01-30,128.0580291748047
2008-01-31,129.51324462890625
2008-02-01,129.51324462890625
2008-02-12,128.0580291748047
2008-02-13,129.51324462890625
2008-02-14,130.96844482421875
2008-02-15,132.97662353515625
2008-02-18,130.09532165527344
2008-02-19,130.96844482421875
2008-02-20,130.96844482421875
2008-02-21,130.96844482421875
2008-02-22,129.51324462890625
2008-02-25,128.64012145996094
2008-02-26,130.38636779785156
2008-02-27,130.96844482421875
2008-02-29,129.51324462890625
2008-03-03,130.96844482421875
2008-03-04,136.4982147216797
2008-03-05,136.7892608642578
2008-03-06,138.53550720214844
2008-03-07,143.4832000732422
2008-03-10,145.52049255371094
2008-03-11,146.97569274902344
2008-03-12,148.430908203125
2008-03-13,146.97569274902344
2008-03-14,145.52049255371094
2008-03-17,142.61007690429688
2008-03-18,142.61007690429688
2008-03-19,142.61007690429688
2008-03-20,142.61007690429688
2008-03-21,133.41319274902344
2008-03-24,142.61007690429688
2008-03-25,141.15487670898438
2008-03-26,141.73695373535156
2008-03-27,139.69967651367188
2008-03-28,141.4459228515625
2008-03-31,141.4459228515625
2008-04-01,141.15487670898438
2008-04-02,144.06529235839844
2008-04-03,142.61007690429688
2008-04-07,144.06529235839844
2008-04-08,144.06529235839844
2008-04-09,146.97569274902344
2008-04-10,149.8861083984375
2008-04-11,149.0129852294922
2008-04-14,147.5577850341797
2008-04-15,148.430908203125
2008-04-16,148.430908203125
2008-04-17,146.97569274902344
2008-04-18,146.10256958007812
2008-04-21,146.97569274902344
2008-04-22,146.10256958007812
2008-04-23,145.52049255371094
2008-04-24,145.52049255371094
2008-04-25,145.52049255371094
2008-04-28,146.39361572265625
2008-04-29,146.97569274902344
2008-04-30,145.52049255371094
2008-05-02,145.52049255371094
2008-05-05,148.430908203125
2008-05-06,149.3040313720703
2008-05-07,150.4681854248047
2008-05-08,149.8861083984375
2008-05-09,151.34130859375
2008-05-12,151.34130859375
2008-05-13,154.25172424316406
2008-05-14,163.56503295898438
2008-05-15,164.4381561279297
2008-05-16,165.8933563232422
2008-05-19,170.25897216796875
2008-05-20,177.53500366210938
2008-05-21,173.1693878173828
2008-05-22,174.6245880126953
2008-05-23,171.7141876220703
2008-05-26,166.1844024658203
2008-05-27,166.47544860839844
