Date,Close,Volume
2025-02-20,18.889999389648438,572100
2025-02-21,18.260000228881836,447800
2025-02-24,18.049999237060547,372400
2025-02-25,17.739999771118164,473900
2025-02-26,17.81999969482422,313100
2025-02-27,17.360000610351562,373600
2025-02-28,17.56999969482422,334000
2025-03-03,17.170000076293945,408100
2025-03-04,17.030000686645508,495600
2025-03-05,17.219999313354492,184100
2025-03-06,16.530000686645508,241800
2025-03-07,16.600000381469727,265500
2025-03-10,15.949999809265137,418000
2025-03-11,15.989999771118164,280200
2025-03-12,16.280000686645508,259600
2025-03-13,15.90999984741211,178800
2025-03-14,16.3700008392334,166000
2025-03-17,16.579999923706055,159200
2025-03-18,16.229999542236328,133900
2025-03-19,16.530000686645508,158700
2025-03-20,16.559999465942383,180100
2025-03-21,16.6200008392334,250500
2025-03-24,17.110000610351562,288500
2025-03-25,17.170000076293945,493200
2025-03-26,16.719999313354492,298900
2025-03-27,16.40999984741211,205800
2025-03-28,16.040000915527344,189600
2025-03-31,15.949999809265137,292000
2025-04-01,16.1299991607666,158300
2025-04-02,16.3700008392334,143000
2025-04-03,15.430000305175781,309100
2025-04-04,14.600000381469727,579700
2025-04-07,14.779999732971191,412500
2025-04-08,14.550000190734863,251300
2025-04-09,16.09000015258789,271100
2025-04-10,15.4399995803833,126000
2025-04-11,15.630000114440918,114400
2025-04-14,15.649999618530273,124600
2025-04-15,15.75,157200
2025-04-16,15.380000114440918,136200
2025-04-17,15.390000343322754,99900
2025-04-21,14.920000076293945,162900
2025-04-22,15.3100004196167,89400
2025-04-23,15.680000305175781,296000
2025-04-24,16.200000762939453,380500
2025-04-25,16.329999923706055,227600
2025-04-28,16.329999923706055,175700
2025-04-29,16.5,110700
2025-04-30,16.440000534057617,166100
2025-05-01,16.549999237060547,182100
2025-05-02,16.979999542236328,199700
2025-05-05,16.950000762939453,145600
2025-05-06,16.770000457763672,176300
2025-05-07,16.81999969482422,163300
2025-05-08,17.010000228881836,154800
2025-05-09,16.969999313354492,100100
2025-05-12,17.579999923706055,1043600
2025-05-13,17.979999542236328,281200
2025-05-14,18.079999923706055,323000
2025-05-15,17.950000762939453,283000
2025-05-16,18.15999984741211,241800
2025-05-19,18.139999389648438,211400
2025-05-20,18.010000228881836,192700
2025-05-21,17.75,183100
2025-05-22,17.809999465942383,109100
2025-05-23,17.68000030517578,150900
2025-05-27,18.040000915527344,308300
2025-05-28,17.889999389648438,153500
2025-05-29,17.809999465942383,142300
2025-05-30,17.799999237060547,140700
2025-06-02,17.940000534057617,455300
2025-06-03,18.100000381469727,326100
2025-06-04,18.18000030517578,227200
2025-06-05,18.079999923706055,860200
2025-06-06,18.329999923706055,464900
2025-06-09,18.25,266400
2025-06-10,18.229999542236328,231800
2025-06-11,18.25,305100
