Date,FADU_440110.KQ,MRVL
2024-02-20,100.0,100.0
2024-02-21,99.26108374384236,100.73800080071105
2024-02-22,99.50738916256158,107.42620197273337
2024-02-23,104.43349753694582,103.90529040555556
2024-02-26,106.40394088669952,105.50430778084447
2024-02-27,103.20197044334975,106.28843216531105
2024-02-28,105.91133004926108,103.84378838377776
2024-02-29,102.46305418719213,110.17835586315559
2024-03-04,103.94088669950739,122.0018409550444
2024-03-05,100.0,121.04858894326671
2024-03-06,102.21674876847291,125.10762853811113
2024-03-07,99.26108374384236,130.82717579971103
2024-03-08,99.26108374384236,115.95940514653329
2024-03-11,95.4679802955665,111.25461191848889
2024-03-12,95.1231527093596,110.34747176015549
2024-03-13,97.38916256157636,103.98215913504438
2024-03-14,96.45320197044335,101.59901737528891
2024-03-15,95.51724137931035,102.81365591220002
2024-03-18,96.10837438423646,103.32102706382216
2024-03-19,94.23645320197043,100.03074514573329
2024-03-20,92.85714285714286,100.76875767675556
2024-03-21,83.34975369458128,102.38314175975549
2024-03-22,79.45812807881774,102.30627303026667
2024-03-25,75.02463054187191,101.66051939706668
2024-03-26,82.66009852216749,104.95080131515557
2024-03-27,84.33497536945814,111.17773145868884
2024-03-28,82.16748768472907,108.97908403395549
2024-04-01,79.70443349753694,112.54611918488881
2024-04-02,88.76847290640394,113.14574923433327
2024-04-03,93.64532019704434,112.28474439006663
2024-04-04,91.13300492610837,108.97908403395549
2024-04-05,99.01477832512316,111.70049277864445
2024-04-08,93.00492610837439,110.5781014092444
2024-04-09,83.30049261083744,112.76137039595548
2024-04-11,83.2512315270936,109.97847135979997
2024-04-12,86.35467980295567,107.87208283288894
2024-04-15,97.68472906403942,104.36653797342217
2024-04-16,89.95073891625616,104.98154646088886
2024-04-17,102.21674876847291,102.21402586275559
2024-04-18,99.50738916256158,100.30749837857773
2024-04-19,96.00985221674877,95.52583055588889
2024-04-22,96.30541871921181,96.67896707102223
2024-04-23,93.69458128078819,98.18573141364443
2024-04-24,95.56650246305419,99.7078683291333
2024-04-25,93.30049261083744,103.7515412162667
2024-04-26,99.26108374384236,107.04182313435557
2024-04-29,99.01477832512316,105.70418055388888
2024-04-30,94.23645320197043,101.3376425804667
2024-05-02,92.95566502463053,102.50614580331107
2024-05-03,89.16256157635468,105.33518015353336
2024-05-07,88.76847290640394,105.59655494835553
2024-05-08,86.55172413793103,104.72017166606666
2024-05-09,88.62068965517241,104.05903959484444
2024-05-10,86.25615763546797,105.27367813175556
2024-05-13,84.5320197044335,106.11930453799994
2024-05-14,84.63054187192118,104.58178918448881
2024-05-16,86.69950738916256,112.36162484986667
2024-05-17,84.67980295566502,110.5781014092444
2024-05-20,83.2512315270936,114.49877025282223
2024-05-21,82.3152709359606,112.69988010448893
2024-05-22,83.74384236453201,113.2841317159111
2024-05-23,85.71428571428571,115.34439665906659
2024-05-24,88.52216748768473,117.89667777644443
2024-05-28,88.81773399014779,120.43358045580001
2024-05-29,86.69950738916256,116.5129116122222
2024-05-30,87.73399014778325,118.15805257126664
2024-05-31,86.99507389162562,105.79642772139994
2024-06-03,87.0935960591133,104.87392085535552
2024-06-04,90.39408866995073,102.0602649431555
2024-06-05,95.07389162561576,107.31857636720004
2024-06-07,101.47783251231527,104.53566560073328
2024-06-10,104.43349753694582,106.81119348526667
2024-06-11,104.43349753694582,108.24108323324447
2024-06-12,105.91133004926108,112.79212727199999
2024-06-13,106.89655172413792,112.0387480332667
2024-06-14,113.30049261083744,112.65374479042217
2024-06-17,116.25615763546797,110.42435221995555
2024-06-18,116.00985221674878,112.45387201737775
2024-06-20,113.05418719211822,112.60762120666661
2024-06-21,109.35960591133005,110.53197782548887
2024-06-24,107.38916256157636,104.19741034611106
2024-06-25,104.43349753694582,104.95080131515557
2024-06-26,107.38916256157636,104.9661680228666
2024-06-27,103.69458128078817,105.6734354081556
2024-06-28,102.46305418719213,107.4723255564889
2024-07-01,100.24630541871922,109.16359009928887
2024-07-02,99.26108374384236,110.0860969653333
2024-07-03,102.46305418719213,111.00860383137771
2024-07-05,99.26108374384236,110.82410949635558
2024-07-08,102.95566502463053,115.1752807620667
2024-07-09,100.98522167487684,113.53012807271104
2024-07-10,99.50738916256158,115.12914544799995
2024-07-11,96.69950738916256,110.97785868564442
2024-07-12,93.10344827586206,113.14574923433327
2024-07-15,91.47783251231527,113.1611276723555
2024-07-16,93.49753694581281,116.23615837937773
2024-07-17,90.64039408866995,104.4434184332222
2024-07-18,89.4088669950739,104.87392085535552
2024-07-19,88.22660098522167,102.26014944651114
2024-07-22,91.13300492610837,106.10393783028891
2024-07-23,90.0,105.15067408819998
2024-07-24,91.37931034482759,98.93911065237774
2024-07-25,87.4384236453202,98.38561005184445
2024-07-26,85.4679802955665,101.04551090960001
2024-07-29,84.72906403940887,99.13899515573337
2024-07-30,84.72906403940887,96.55596302746665
2024-07-31,86.50246305418719,102.98278353951116
2024-08-01,86.50246305418719,96.95572030386668
2024-08-02,81.9704433497537,91.09778469553332
2024-08-05,69.11330049261085,88.66850762171107
2024-08-06,74.92610837438424,89.51414575826668
2024-08-07,69.45812807881774,86.33148944571111
2024-08-08,65.27093596059113,94.03443878613332
2024-08-09,68.12807881773399,93.11193192008889
2024-08-12,70.64039408866995,93.03505146028886
2024-08-13,68.91625615763547,98.47786308451114
2024-08-14,70.93596059113301,98.07810580811112
2024-08-16,69.75369458128078,106.58056383617776
2024-08-19,68.3743842364532,109.22509212106665
2024-08-20,70.6896551724138,106.71894631775561
2024-08-21,70.49261083743842,109.68633968893326
