Date,KOSDAQ150_PROXY_229200.KS,FADU_440110.KQ
2024-02-20,100.0,100.0
2024-02-21,100.14657383657017,99.26108374384236
2024-02-22,100.87944301942102,99.50738916256158
2024-02-23,101.17259069256137,104.43349753694582
2024-02-26,101.72224257969953,106.40394088669952
2024-02-27,99.96335654085746,103.20197044334975
2024-02-28,101.64895566141443,105.91133004926108
2024-02-29,102.49175522169294,102.46305418719213
2024-03-04,104.32392817882008,103.94088669950739
2024-03-05,103.70098937339685,100.0
2024-03-06,104.21399780139244,102.21674876847291
2024-03-07,103.26126786368633,99.26108374384236
2024-03-08,105.49651887138145,99.26108374384236
2024-03-11,105.97288384023452,95.4679802955665
2024-03-12,108.46463906192744,95.1231527093596
2024-03-13,108.09820447050203,97.38916256157636
2024-03-14,108.20813484792964,96.45320197044335
2024-03-15,106.63246610480029,95.51724137931035
2024-03-18,108.61121289849763,96.10837438423646
2024-03-19,108.9410040307805,94.23645320197043
2024-03-20,108.61121289849763,92.85714285714286
2024-03-21,110.73653352876511,83.34975369458128
2024-03-22,110.91975082447783,79.45812807881774
2024-03-25,113.1916452913155,75.02463054187191
2024-03-26,113.74129717845365,82.66009852216749
2024-03-27,112.82521069989006,84.33497536945814
2024-03-28,112.38548919017954,82.16748768472907
2024-03-29,111.17625503847563,78.32512315270937
2024-04-01,111.46940271161598,79.70443349753694
2024-04-02,107.95163063393186,88.76847290640394
2024-04-03,106.04617075851961,93.64532019704434
2024-04-04,106.04617075851961,91.13300492610837
2024-04-05,104.39721509710516,99.01477832512316
2024-04-08,103.66434591425431,93.00492610837439
2024-04-09,103.48112861854159,83.30049261083744
2024-04-11,103.4078417002565,83.2512315270936
2024-04-12,103.22462440454379,86.35467980295567
2024-04-15,102.85818981311836,97.68472906403942
2024-04-16,100.62293880542323,89.95073891625616
2024-04-17,99.78013924514474,102.21674876847291
2024-04-18,102.78490289483327,99.50738916256158
2024-04-19,101.57566874312936,96.00985221674877
2024-04-22,102.71161597654819,96.30541871921181
2024-04-23,102.71161597654819,93.69458128078819
2024-04-24,105.42323195309638,95.56650246305419
2024-04-25,103.66434591425431,93.30049261083744
2024-04-26,104.10406742396484,99.26108374384236
2024-04-29,105.49651887138145,99.01477832512316
2024-04-30,105.49651887138145,94.23645320197043
2024-05-02,105.05679736167095,92.95566502463053
2024-05-03,104.39721509710516,89.16256157635468
2024-05-07,104.72700622938807,88.76847290640394
2024-05-08,104.87358006595822,86.55172413793103
2024-05-09,104.10406742396484,88.62068965517241
2024-05-10,103.33455478197142,86.25615763546797
2024-05-13,101.42909490655919,84.5320197044335
2024-05-14,102.34518138512276,84.63054187192118
2024-05-16,102.8948332722609,86.69950738916256
2024-05-17,98.1311835837303,84.67980295566502
2024-05-20,98.35104433858555,83.2512315270936
2024-05-21,98.4609747160132,82.3152709359606
2024-05-22,98.717478930011,83.74384236453201
2024-05-23,98.42433125687064,85.71428571428571
2024-05-24,97.50824477830707,88.52216748768473
2024-05-27,99.04727006229388,88.52216748768473
2024-05-28,98.93733968486626,88.81773399014779
2024-05-29,97.14181018688164,86.69950738916256
2024-05-30,96.44558446317333,87.73399014778325
2024-05-31,97.3616709417369,86.99507389162562
2024-06-03,98.09454012458775,87.0935960591133
2024-06-04,99.19384389886406,90.39408866995073
2024-06-05,100.65958226456577,95.07389162561576
2024-06-07,103.33455478197142,101.47783251231527
2024-06-10,101.86881641626971,104.43349753694582
2024-06-11,103.22462440454379,104.43349753694582
2024-06-12,103.33455478197142,105.91133004926108
2024-06-13,103.0780505679736,106.89655172413792
2024-06-14,101.282521069989,113.30049261083744
2024-06-17,101.17259069256137,116.25615763546797
2024-06-18,101.24587761084646,116.00985221674878
2024-06-19,101.39245144741665,115.51724137931035
2024-06-20,100.87944301942102,113.05418719211822
2024-06-21,100.69622572370831,109.35960591133005
2024-06-24,99.30377427629168,107.38916256157636
2024-06-25,99.78013924514474,104.43349753694582
2024-06-26,99.34041773543423,107.38916256157636
2024-06-27,99.37706119457677,103.69458128078817
2024-06-28,99.59692194943203,102.46305418719213
2024-07-01,101.17259069256137,100.24630541871922
2024-07-02,98.6441920117259,99.26108374384236
2024-07-03,101.0993037742763,102.46305418719213
2024-07-04,101.97874679369731,103.44827586206897
2024-07-05,103.88420666910956,99.26108374384236
2024-07-08,105.2766581165262,102.95566502463053
2024-07-09,105.24001465738367,100.98522167487684
2024-07-10,104.72700622938807,99.50738916256158
2024-07-11,103.84756320996702,96.69950738916256
2024-07-12,103.62770245511177,93.10344827586206
2024-07-15,103.81091975082448,91.47783251231527
2024-07-16,101.97874679369731,93.49753694581281
2024-07-17,100.32979113228289,90.64039408866995
2024-07-18,99.85342616342983,89.4088669950739
2024-07-19,100.62293880542323,88.22660098522167
2024-07-22,98.1311835837303,91.13300492610837
2024-07-23,98.49761817515574,90.0
2024-07-24,98.82740930743861,91.37931034482759
2024-07-25,96.73873213631367,87.4384236453202
2024-07-26,96.55551484060095,85.4679802955665
2024-07-29,98.05789666544523,84.72906403940887
2024-07-30,98.2044705020154,84.72906403940887
2024-07-31,98.02125320630267,86.50246305418719
2024-08-01,99.37706119457677,86.50246305418719
2024-08-02,94.83327226090142,81.9704433497537
2024-08-05,84.82960791498716,69.11330049261085
2024-08-06,90.216196408941,74.92610837438424
2024-08-07,92.3415170392085,69.45812807881774
2024-08-08,91.42543056064493,65.27093596059113
2024-08-09,93.84389886405276,68.12807881773399
2024-08-12,94.39355075119092,70.64039408866995
2024-08-13,93.91718578233785,68.91625615763547
2024-08-14,95.05313301575669,70.93596059113301
