Date,삼성전자,SK하이닉스,파두
2024-02-20,100.0,100.0,100.0
2024-02-21,99.59072305593452,99.59893048128342,99.26108374384236
2024-02-22,99.72714870395635,104.61229946524064,99.50738916256158
2024-02-23,99.45429740791269,107.88770053475936,104.43349753694582
2024-02-26,99.31787175989086,108.15508021390374,106.40394088669952
2024-02-27,99.45429740791269,102.80748663101605,103.20197044334975
2024-02-28,99.86357435197817,105.61497326203208,105.91133004926108
2024-02-29,100.13642564802183,104.41176470588236,102.46305418719213
2024-03-04,102.18281036834924,111.29679144385027,103.94088669950739
2024-03-05,100.54570259208731,110.82887700534761,100.0
2024-03-06,99.45429740791269,108.8903743315508,102.21674876847291
2024-03-07,98.4993178717599,110.22727272727273,99.26108374384236
2024-03-08,100.0,114.90641711229948,99.26108374384236
2024-03-11,98.77216916780355,111.36363636363636,95.4679802955665
2024-03-12,100.0,110.7620320855615,95.1231527093596
2024-03-13,101.09140518417463,109.35828877005346,97.38916256157636
2024-03-14,101.36425648021827,108.22192513368985,96.45320197044335
2024-03-15,98.63574351978171,107.75401069518718,95.51724137931035
2024-03-18,99.31787175989086,109.82620320855614,96.10837438423646
2024-03-19,99.31787175989086,107.0855614973262,94.23645320197043
2024-03-20,104.91132332878581,104.61229946524064,92.85714285714286
2024-03-21,108.18553888130968,113.63636363636364,83.34975369458128
2024-03-22,107.63983628922237,113.50267379679144,79.45812807881774
2024-03-25,106.68485675306958,113.23529411764706,75.02463054187191
2024-03-26,109.00409276944065,118.04812834224599,82.66009852216749
2024-03-27,108.86766712141882,121.12299465240642,84.33497536945814
2024-03-28,110.23192360163712,119.11764705882352,82.16748768472907
2024-03-29,112.41473396998636,122.32620320855614,78.32512315270937
2024-04-01,111.86903137789905,123.99732620320856,79.70443349753694
2024-04-02,115.9618008185539,124.53208556149733,88.76847290640394
2024-04-03,114.73396998635744,119.78609625668449,93.64532019704434
2024-04-04,116.37107776261936,125.66844919786095,91.13300492610837
2024-04-05,115.27967257844476,122.19251336898395,99.01477832512316
2024-04-08,115.27967257844476,121.12299465240642,93.00492610837439
2024-04-09,114.0518417462483,122.25935828877006,83.30049261083744
2024-04-11,114.73396998635744,125.93582887700533,83.2512315270936
2024-04-12,114.18826739427013,125.26737967914438,86.35467980295567
2024-04-15,112.14188267394269,125.80213903743316,97.68472906403942
2024-04-16,109.14051841746249,119.7192513368984,89.95073891625616
2024-04-17,107.63983628922237,119.45187165775401,102.21674876847291
2024-04-18,108.59481582537518,121.85828877005346,99.50738916256158
2024-04-19,105.8663028649386,115.84224598930481,96.00985221674877
2024-04-22,103.81991814461118,114.70588235294117,96.30541871921181
2024-04-23,103.00136425648022,114.3048128342246,93.69458128078819
2024-04-24,107.23055934515688,120.18716577540107,95.56650246305419
2024-04-25,104.09276944065485,114.03743315508021,93.30049261083744
2024-04-26,104.63847203274214,118.85026737967914,99.26108374384236
2024-04-29,104.63847203274214,117.58021390374331,99.01477832512316
2024-04-30,105.72987721691678,116.44385026737969,94.23645320197043
2024-05-02,106.41200545702591,116.0427807486631,92.95566502463053
2024-05-03,105.8663028649386,115.77540106951871,89.16256157635468
2024-05-07,110.91405184174626,120.05347593582887,88.76847290640394
2024-05-08,110.91405184174626,118.98395721925135,86.55172413793103
2024-05-09,108.73124147339699,117.24598930481282,88.62068965517241
2024-05-10,108.04911323328785,120.25401069518718,86.25615763546797
2024-05-13,106.95770804911324,122.8609625668449,84.5320197044335
2024-05-14,106.82128240109141,123.86363636363636,84.63054187192118
2024-05-16,106.68485675306958,129.01069518716577,86.69950738916256
2024-05-17,105.59345156889495,126.93850267379678,84.67980295566502
2024-05-20,107.63983628922237,127.07219251336899,83.2512315270936
2024-05-21,106.95770804911324,128.3422459893048,82.3152709359606
2024-05-22,106.00272851296045,132.1524064171123,83.74384236453201
2024-05-23,106.82128240109141,133.6898395721925,85.71428571428571
2024-05-24,103.54706684856754,132.75401069518716,88.52216748768473
2024-05-27,105.32060027285131,134.69251336898395,88.52216748768473
2024-05-28,105.8663028649386,135.3609625668449,88.81773399014779
2024-05-29,102.59208731241473,135.3609625668449,86.69950738916256
2024-05-30,100.27285129604367,130.81550802139037,87.73399014778325
2024-05-31,100.27285129604367,126.47058823529412,86.99507389162562
2024-06-03,103.27421555252387,129.81283422459893,87.0935960591133
2024-06-04,102.72851296043657,129.21122994652404,90.39408866995073
2024-06-05,105.59345156889495,129.47860962566844,95.07389162561576
2024-06-07,105.45702592087312,138.70320855614972,101.47783251231527
2024-06-10,103.27421555252387,139.0374331550802,104.43349753694582
2024-06-11,102.59208731241473,142.04545454545453,104.43349753694582
2024-06-12,104.3656207366985,143.71657754010695,105.91133004926108
2024-06-13,107.23055934515688,148.39572192513367,106.89655172413792
2024-06-14,108.59481582537518,147.72727272727272,113.30049261083744
2024-06-17,106.54843110504774,149.06417112299465,116.25615763546797
2024-06-18,108.86766712141882,156.75133689839572,116.00985221674878
2024-06-19,110.77762619372442,156.08288770053477,115.51724137931035
2024-06-20,111.32332878581173,158.7566844919786,113.05418719211822
2024-06-21,109.14051841746249,156.41711229946523,109.35960591133005
2024-06-24,109.95907230559345,149.06417112299465,107.38916256157636
2024-06-25,110.23192360163712,150.40106951871655,104.43349753694582
2024-06-26,110.91405184174626,158.42245989304814,107.38916256157636
2024-06-27,111.32332878581173,158.08823529411765,103.69458128078817
2024-06-28,111.1869031377899,158.08823529411765,102.46305418719213
2024-07-01,111.5961800818554,157.4197860962567,100.24630541871922
2024-07-02,111.5961800818554,155.0802139037433,99.26108374384236
