Date,Close,Volume,TradingValueUSD
2025-02-20,18.889999389648438,572100,10806968.650817871
2025-02-21,18.260000228881836,447800,8176828.102493286
2025-02-24,18.049999237060547,372400,6721819.715881348
2025-02-25,17.739999771118164,473900,8406985.891532898
2025-02-26,17.81999969482422,313100,5579441.904449463
2025-02-27,17.360000610351562,373600,6485696.228027344
2025-02-28,17.56999969482422,334000,5868379.898071289
2025-03-03,17.170000076293945,408100,7007077.031135559
2025-03-04,17.030000686645508,495600,8440068.340301514
2025-03-05,17.219999313354492,184100,3170201.873588562
2025-03-06,16.530000686645508,241800,3996954.166030884
2025-03-07,16.600000381469727,265500,4407300.101280212
2025-03-10,15.949999809265137,418000,6667099.920272827
2025-03-11,15.989999771118164,280200,4480397.93586731
2025-03-12,16.280000686645508,259600,4226288.178253174
2025-03-13,15.90999984741211,178800,2844707.972717285
2025-03-14,16.3700008392334,166000,2717420.139312744
2025-03-17,16.579999923706055,159200,2639535.987854004
2025-03-18,16.229999542236328,133900,2173196.9387054443
2025-03-19,16.530000686645508,158700,2623311.108970642
2025-03-20,16.559999465942383,180100,2982455.903816223
2025-03-21,16.6200008392334,250500,4163310.2102279663
2025-03-24,17.110000610351562,288500,4936235.176086426
2025-03-25,17.170000076293945,493200,8468244.037628174
2025-03-26,16.719999313354492,298900,4997607.794761658
2025-03-27,16.40999984741211,205800,3377177.968597412
2025-03-28,16.040000915527344,189600,3041184.1735839844
2025-03-31,15.949999809265137,292000,4657399.94430542
2025-04-01,16.1299991607666,158300,2553378.867149353
2025-04-02,16.3700008392334,143000,2340910.120010376
2025-04-03,15.430000305175781,309100,4769413.094329834
2025-04-04,14.600000381469727,579700,8463620.221138
2025-04-07,14.779999732971191,412500,6096749.889850616
2025-04-08,14.550000190734863,251300,3656415.047931671
2025-04-09,16.09000015258789,271100,4361999.041366577
2025-04-10,15.4399995803833,126000,1945439.947128296
2025-04-11,15.630000114440918,114400,1788072.013092041
2025-04-14,15.649999618530273,124600,1949989.952468872
2025-04-15,15.75,157200,2475900.0
2025-04-16,15.380000114440918,136200,2094756.015586853
2025-04-17,15.390000343322754,99900,1537461.034297943
2025-04-21,14.920000076293945,162900,2430468.0124282837
2025-04-22,15.3100004196167,89400,1368714.037513733
2025-04-23,15.680000305175781,296000,4641280.090332031
2025-04-24,16.200000762939453,380500,6164100.290298462
2025-04-25,16.329999923706055,227600,3716707.982635498
2025-04-28,16.329999923706055,175700,2869180.986595154
2025-04-29,16.5,110700,1826550.0
2025-04-30,16.440000534057617,166100,2730684.08870697
2025-05-01,16.549999237060547,182100,3013754.8610687256
2025-05-02,16.979999542236328,199700,3390905.9085845947
2025-05-05,16.950000762939453,145600,2467920.1110839844
2025-05-06,16.770000457763672,176300,2956551.0807037354
2025-05-07,16.81999969482422,163300,2746705.950164795
2025-05-08,17.010000228881836,154800,2633148.035430908
2025-05-09,16.969999313354492,100100,1698696.9312667847
2025-05-12,17.579999923706055,1043600,18346487.92037964
2025-05-13,17.979999542236328,281200,5055975.8712768555
2025-05-14,18.079999923706055,323000,5839839.975357056
2025-05-15,17.950000762939453,283000,5079850.215911865
2025-05-16,18.15999984741211,241800,4391087.963104248
2025-05-19,18.139999389648438,211400,3834795.8709716797
2025-05-20,18.010000228881836,192700,3470527.04410553
2025-05-21,17.75,183100,3250025.0
2025-05-22,17.809999465942383,109100,1943070.941734314
2025-05-23,17.68000030517578,150900,2667912.0460510254
2025-05-27,18.040000915527344,308300,5561732.28225708
2025-05-28,17.889999389648438,153500,2746114.906311035
2025-05-29,17.809999465942383,142300,2534362.924003601
2025-05-30,17.799999237060547,140700,2504459.892654419
2025-06-02,17.940000534057617,455300,8168082.243156433
2025-06-03,18.100000381469727,326100,5902410.124397278
2025-06-04,18.18000030517578,227200,4130496.0693359375
2025-06-05,18.079999923706055,860200,15552415.934371948
2025-06-06,18.329999923706055,464900,8521616.964530945
2025-06-09,18.25,266400,4861800.0
2025-06-10,18.229999542236328,231800,4225713.893890381
2025-06-11,18.25,305100,5568075.0
2025-06-12,18.329999923706055,255100,4675982.980537415
2025-06-13,18.139999389648438,234700,4257457.856750488
2025-06-16,18.3799991607666,387400,7120411.674880981
2025-06-17,18.229999542236328,183000,3336089.916229248
2025-06-18,18.219999313354492,124900,2275677.914237976
2025-06-20,18.06999969482422,121100,2188276.963043213
2025-06-23,18.309999465942383,174600,3196925.90675354
2025-06-24,18.68000030517578,329800,6160664.100646973
2025-06-25,18.56999969482422,270600,5025041.917419434
2025-06-26,18.780000686645508,210500,3953190.1445388794
2025-06-27,18.799999237060547,224900,4228119.828414917
2025-06-30,19.09000015258789,280300,5350927.042770386
2025-07-01,18.799999237060547,221400,4162319.831085205
2025-07-02,18.959999084472656,173300,3285767.8413391113
2025-07-03,19.139999389648438,117300,2245121.9284057617
2025-07-07,19.0,734000,13946000.0
2025-07-08,19.020000457763672,448700,8534274.20539856
2025-07-09,19.200000762939453,319400,6132480.243682861
2025-07-10,19.139999389648438,289700,5544857.823181152
2025-07-11,18.979999542236328,277500,5266949.872970581
2025-07-14,19.139999389648438,201200,3850967.8771972656
2025-07-15,19.040000915527344,244800,4660992.224121094
2025-07-16,19.170000076293945,149600,2867832.011413574
2025-07-17,19.530000686645508,309400,6042582.21244812
2025-07-18,19.549999237060547,165200,3229659.8739624023
2025-07-21,19.32699966430664,263300,5088799.0116119385
2025-07-22,19.32200050354004,183000,3535926.092147827
2025-07-23,19.440000534057617,157500,3061800.0841140747
2025-07-24,19.540000915527344,144600,2825484.132385254
2025-07-25,19.600000381469727,129000,2528400.0492095947
2025-07-28,19.68000030517578,751600,14791488.229370117
2025-07-29,19.389999389648438,262000,5080179.840087891
2025-07-30,19.559999465942383,245500,4801979.868888855
2025-07-31,19.649999618530273,248000,4873199.905395508
2025-08-01,19.40999984741211,324200,6292721.950531006
2025-08-04,19.959999084472656,206300,4117747.811126709
2025-08-05,19.780000686645508,165800,3279524.113845825
2025-08-06,20.110000610351562,265300,5335183.1619262695
2025-08-07,20.18000030517578,220200,4443636.067199707
2025-08-08,19.979999542236328,209500,4185809.9040985107
2025-08-11,20.0,370000,7400000.0
2025-08-12,20.229999542236328,146900,2971786.9327545166
2025-08-13,20.049999237060547,202300,4056114.8456573486
2025-08-14,19.889999389648438,166200,3305717.8985595703
2025-08-15,19.940000534057617,86300,1720822.0460891724
2025-08-18,20.0,83800,1676000.0
2025-08-19,19.40999984741211,300200,5826881.954193115
2025-08-20,19.329999923706055,245000,4735849.981307983
2025-08-21,19.34000015258789,125400,2425236.0191345215
2025-08-22,19.850000381469727,247100,4904935.094261169
2025-08-25,19.81999969482422,183800,3642915.9439086914
2025-08-26,20.0,157800,3156000.0
2025-08-27,19.860000610351562,140200,2784372.085571289
2025-08-28,20.100000381469727,92900,1867290.0354385376
2025-08-29,19.920000076293945,103900,2069688.007926941
2025-09-02,19.760000228881836,161900,3199144.0370559692
2025-09-03,19.729999542236328,94500,1864484.956741333
2025-09-04,19.924999237060547,116400,2319269.9111938477
2025-09-05,19.93000030517578,162300,3234639.0495300293
2025-09-08,20.170000076293945,255600,5155452.019500732
2025-09-09,20.405000686645508,191400,3905517.13142395
2025-09-10,20.719999313354492,540300,11195015.629005432
2025-09-11,20.790000915527344,200100,4160079.1831970215
2025-09-12,20.739999771118164,115900,2403765.973472595
